recipe_urls,recipe_name,serves,cooking_time,difficulty,ingredients,nutrition,ingredients_parsed
https://www.jamieoliver.com/recipes/avocado-recipes/avocado-and-broccoli-tacos/,Griddled avocado & broccoli tacos,16 tacos                                                    ,40 minutes                                                    ,"Not too tricky                                                    
","['50 g pumpkin seeds', '1 head of broccoli', 'olive oil', '3 ripe avocados', 'ground cayenne pepper', '16 tacos', 'DRESSING', '1 large bunch of fresh coriander , (60g)', '250 g ricotta cheese', '1 splash of milk', '1 clove of garlic']","{'Calories': '182', 'Fat': '8.8g', 'Saturates': '2.4g', 'Sugars': '1.2g', 'Salt': '0.3g', 'Protein': '5.9g', 'Carbs': '21.1g', 'Fibre': '2.1g'}",pumpkin broccoli avocado taco ricotta cheese milk garlic
https://www.jamieoliver.com/recipes/lamb-recipes/lovely-lamb-balti/,Lovely lamb balti,4 to 6                                                                                                            ,1 hour 30 minutes                                                    ,"Not too tricky                                                    
","['1 medium butternut squash', '½ a jar of balti curry paste', '500 g lamb neck fillet', '1 lime', '1 x 500 g tub of Greek yoghurt', 'groundnut oil', '2 cloves of garlic', '4cm piece of ginger', '1 fresh red chilli', '1 onion', '2 x 400 g tins of quality plum tomatoes', 'a few sprigs of fresh coriander']","{'Calories': '235', 'Fat': '15.5g', 'Saturates': '6g', 'Sugars': '6.7g', 'Salt': '0.7g', 'Protein': '12.6g', 'Carbs': '10.3g', 'Fibre': '-g'}",butternut squash balti curry paste lamb neck fillet lime tub greek yoghurt garlic ginger onion plum tomato sprig
https://www.jamieoliver.com/recipes/beef-recipes/harissa-meatball-wraps/,Harissa meatball wraps,4 +2 leftover meatball portions                                                                                                            ,30 minutes                                                    ,"Super easy                                                    
","['500 g minced beef', '1 x 250 g sachet of cooked grains or lentils', '1 lemon', '1 bunch of fresh flat-leaf parsley , (30g)', '3 teaspoons harissa', '350 g red cabbage', '1 small red onion', '1 red apple', '4 tablespoons natural yoghurt', 'olive oil', '4 wholemeal tortilla', 'pickled chillies , optional']","{'Calories': '434', 'Fat': '12.1g', 'Saturates': '4.3g', 'Sugars': '12g', 'Salt': '1.8g', 'Protein': '28.3g', 'Carbs': '50.3g', 'Fibre': '9.4g'}",minced beef sachet lentil lemon harissa cabbage onion apple yoghurt wholemeal tortilla pickled
https://www.jamieoliver.com/recipes/vegetable-recipes/jacket-spuds-and-homemade-beans/,Jacket spuds & homemade beans,4                                                                                                            ,1 hour 5 minutes                                                    ,"Not too tricky                                                    
","['4 large Maris Piper potatoes', 'olive oil', '1 red pepper', '1 bunch of spring onions', '1 head of broccoli , (375g)', '1 heaped teaspoon smoked paprika', '2 x 400 g tins of cannellini beans', '1 x 400 g tin of plum tomatoes', '80 g Cheddar cheese', '1 x 80 g bag of watercress, spinach & rocket', 'extra virgin olive oil , optional']","{'Calories': '475', 'Fat': '12.8g', 'Saturates': '5.3g', 'Sugars': '9.9g', 'Salt': '1.1g', 'Protein': '24.2g', 'Carbs': '64.4g', 'Fibre': '15.3g'}",mari piper potato onion broccoli paprika cannellini bean plum tomato cheddar cheese bag spinach
https://www.jamieoliver.com/recipes/pasta-recipes/rocket-and-pistachio-pesto-pasta/,Rocket & pistachio pesto pasta,4                                                                                                            ,18 minutes                                                    ,"Not too tricky                                                    
","['80 g wild rocket', '½ a clove of garlic', '50 g shelled unsalted pistachios', 'olive oil', '25 g Parmesan cheese , plus extra to serve', '1 lemon', '320 g asparagus', '300 g dried linguine']","{'Calories': '524', 'Fat': '26.3g', 'Saturates': '4.7g', 'Sugars': '3.9g', 'Salt': '0.6g', 'Protein': '15.8g', 'Carbs': '60.9g', 'Fibre': '2.8g'}",garlic pistachio parmesan cheese lemon asparagus linguine
https://www.jamieoliver.com/recipes/vegetable-recipes/potato-pepper-and-broccoli-frittata/,"Potato, pepper & broccoli frittata",4                                                                                                            ,30 minutes                                                    ,"Not too tricky                                                    
","['600 g Maris Piper potatoes', '1 bunch of spring onions', '1 head of broccoli , (375g)', '1 red pepper', '1 teaspoon smoked paprika', '8 large eggs', '40 g Cheddar cheese', '1 x 80 g bag of watercress, spinach & rocket', 'extra virgin olive oil']","{'Calories': '373', 'Fat': '19.1g', 'Saturates': '5.8g', 'Sugars': '4.6g', 'Salt': '1.6g', 'Protein': '23g', 'Carbs': '30.1g', 'Fibre': '5.3g'}",mari piper potato onion broccoli paprika egg cheddar cheese bag spinach
https://www.jamieoliver.com/recipes/fish-recipes/fantastic-fish-skewers/,Fantastic fish skewers,4                                                                                                            ,22 minutes                                                    ,"Super easy                                                    
","['olive oil', '1 clove of garlic', '2 lemons', '2 sprigs of fresh rosemary', '1 red pepper', '4 x 130 g white fish fillets , skin off, pin-boned, from sustainable sources', '2 thick slices of wholemeal bread , (200g)', '8 rashers of higher-welfare smoked pancetta or smoked streaky bacon', '2 x 250 g sachets of cooked puy lentils', '2 x 80 g bags of watercress, spinach & rocket', '4 tablespoons natural yoghurt']","{'Calories': '507', 'Fat': '20.8g', 'Saturates': '5.1g', 'Sugars': '6g', 'Salt': '1.7g', 'Protein': '39.5g', 'Carbs': '41.8g', 'Fibre': '11.5g'}",garlic lemon sprig fish fillet wholemeal bread pancetta bacon sachet puy lentil bag spinach yoghurt
https://www.jamieoliver.com/recipes/vegetable-recipes/smoky-veg-patties/,Smoky veg patties,4                                                                                                            ,25 minutes                                                    ,"Super easy                                                    
","['1 head of broccoli', '1 bunch of spring onions', '600 g Maris Piper potatoes', 'olive oil', '1 red pepper', 'red wine vinegar', '1 x 400 g tin of cannellini beans', '60 g Cheddar cheese', '½ teaspoon smoked paprika', '4 large eggs', '1 x 80 g bag of watercress, spinach & rocket', 'extra virgin olive oil']","{'Calories': '402', 'Fat': '18.6g', 'Saturates': '6g', 'Sugars': '6.9g', 'Salt': '1.6g', 'Protein': '20.1g', 'Carbs': '41.8g', 'Fibre': '6.8g'}",broccoli onion mari piper potato wine cannellini bean cheddar cheese paprika egg bag spinach
https://www.jamieoliver.com/recipes/lamb-recipes/lamb-and-chunky-veg-steamed-pudding/,Lamb & chunky veg steamed pudding,6                                                                                                            ,5 hours 20 minutes                                                    ,"Not too tricky                                                    
","['400 g lamb neck fillet , cut into 5cm dice', 'olive oil', '2 leeks', '2 carrots', '200 g swede', '1 teaspoon English mustard', '1 teaspoon mint sauce', '1 heaped tablespoon plain flour', '250 ml red wine', '1 litre organic beef stock', '350 g self-raising flour', '175 g unsalted butter (cold) , plus extra for greasing']","{'Calories': '625', 'Fat': '33.3g', 'Saturates': '17.2g', 'Sugars': '6.5g', 'Salt': '0.8g', 'Protein': '24.9g', 'Carbs': '52.4g', 'Fibre': '4.4g'}",lamb neck fillet dice leek carrot swede flour wine beef stock self raising flour butter greasing
https://www.jamieoliver.com/recipes/vegetable-recipes/5-a-day-spiced-veg-stew/,5-a-day spiced veg stew,2                                                                                                            ,53 minutes                                                    ,"Not too tricky                                                    
","['1 sweet potato , (300g)', '1 aubergine , (250g)', '2 mixed-colour peppers', '2 onions', 'olive oil', '½ a bunch of fresh coriander , (15g)', '30 g sun-dried tomatoes', '2 tablespoons Thai curry paste , (choose your favourite)', '½ x 400 g tin of light coconut milk', '160 g mangetout', '2 teaspoons soy or fish sauce', '1 lime', '2 flatbreads , optional']","{'Calories': '414', 'Fat': '11.2g', 'Saturates': '6g', 'Sugars': '39g', 'Salt': '1.8g', 'Protein': '11.8g', 'Carbs': '69.4g', 'Fibre': '15.8g'}",potato aubergine onion tomato curry paste coconut milk mangetout soy fish lime flatbread
https://www.jamieoliver.com/recipes/pasta-recipes/quick-seafood-pasta/,Quick seafood pasta,4                                                                                                            ,20 minutes                                                    ,"Not too tricky                                                    
","['300 g dried linguine', '250 g squid , gutted, cleaned, from sustainable sources', '250 g mussels , scrubbed, debearded, from sustainable sources', '250 g cockles or clams , scrubbed, from sustainable sources', '4 scallops with roe attached , from sustainable sources', '1 clove of garlic', '1 bunch of fresh flat-leaf parsley , (30g)', '1 lemon', '1 fresh red chilli , optional', 'olive oil', '1 tablespoon baby capers', '1 handful of samphire , optional', '1 x 400 g tin of quality plum tomatoes', '20 g Parmesan cheese', 'extra virgin olive oil']","{'Calories': '507', 'Fat': '11.5g', 'Saturates': '2.7g', 'Sugars': '5.3g', 'Salt': '1.8g', 'Protein': '36.6g', 'Carbs': '68.3g', 'Fibre': '5g'}",linguine squid mussel cockle clam scallop roe attached garlic lemon samphire plum tomato parmesan cheese
https://www.jamieoliver.com/recipes/pasta-recipes/one-pan-veggie-lasagne/,One-pan veggie lasagne,6                                                                                                            ,45 minutes                                                    ,"Not too tricky                                                    
","['1 leek', '50 g unsalted butter', 'olive oil', '500 g asparagus', '50 g plain flour', '2 teaspoons English mustard', '800 ml semi-skimmed milk', '300 g fresh or frozen peas', '300 g fresh or frozen broad beans', '½ a bunch of fresh mint , (15g)', '80 g Parmesan cheese , plus extra to serve', '80 g mature Cheddar cheese', '250 g fresh lasagne sheets', '50 g blanched almonds', '1 lemon , optional', 'green pesto , optional']","{'Calories': '516', 'Fat': '26.7g', 'Saturates': '12g', 'Sugars': '11.6g', 'Salt': '1.3g', 'Protein': '28.9g', 'Carbs': '42.1g', 'Fibre': '7.4g'}",leek butter asparagus flour semi skimmed milk pea broad bean parmesan cheese mature cheddar cheese lasagne sheet blanched almond lemon pesto
https://www.jamieoliver.com/recipes/fish-recipes/fish-finger-tacos/,Fish finger tacos,4 + 6 leftover fish fingers                                                                                                            ,45 minutes                                                    ,"Not too tricky                                                    
","['1.2 kg white fish fillets , skin off, pin-boned, from sustainable sources', '100 g plain flour', '2 large free-range eggs', '2 teaspoons chipotle paste', '250 g wholemeal bread', 'olive oil', '¼ of a red cabbage , (150g)', 'white wine vinegar', '2 corn on the cob', '1 lime', 'extra virgin olive oil', '4 wholemeal tortillas', 'natural yoghurt or soured cream , to serve']","{'Calories': '489', 'Fat': '13.7g', 'Saturates': '3.7g', 'Sugars': '7.2g', 'Salt': '1.7g', 'Protein': '32.4g', 'Carbs': '55.7g', 'Fibre': '7.8g'}",fish fillet flour egg chipotle paste wholemeal bread cabbage wine cob lime wholemeal tortilla yoghurt soured cream
https://www.jamieoliver.com/recipes/squid-recipes/chargrilled-squid-and-cannellini-beans/,Chargrilled squid & cannellini beans,4                                                                                                            ,25 minutes                                                    ,"Not too tricky                                                    
","['2 fresh red chillies', '½ a bunch of flat-leaf parsley , (15g)', '2 lemons', 'extra virgin olive oil', '8 squid , cleaned, gutted, from sustainable sources', 'olive oil', '2 cloves of garlic', '2 x 400 g tins of cannellini beans', 'red wine vinegar', '200 g rocket']","{'Calories': '417', 'Fat': '16.5g', 'Saturates': '2.7g', 'Sugars': '1.2g', 'Salt': '0.6g', 'Protein': '41.7g', 'Carbs': '21.4g', 'Fibre': '9.4g'}",lemon squid garlic cannellini bean wine
https://www.jamieoliver.com/recipes/vegetable-recipes/spinach-feta-and-lemon-filo-pie/,"Spinach, feta & lemon filo pie",8                                                                                                            ,1 hour                                                    ,"Not too tricky                                                    
","['1 kg frozen spinach', '2 onions', '2 cloves of garlic', 'olive oil', '1 whole nutmeg , for grating', '1 lemon', '100 g feta cheese', '½ a bunch of fresh flat-leaf parsley , (15g)', '½ a bunch of fresh dill , (15g)', '200 g natural yoghurt', '4 large free-range eggs', '1 x 275 g pack filo pastry', '10 g Cheddar cheese']","{'Calories': '285', 'Fat': '11.3g', 'Saturates': '4.1g', 'Sugars': '5.1g', 'Salt': '1g', 'Protein': '14.9g', 'Carbs': '32.1g', 'Fibre': '4.9g'}",spinach onion garlic lemon feta cheese yoghurt egg pack filo pastry cheddar cheese
https://www.jamieoliver.com/recipes/mushroom-recipes/gnarly-oven-baked-mushrooms/,Gnarly oven-baked mushrooms,4                                                                                                            ,50 minutes                                                    ,"Super easy                                                    
","['8 portobello mushrooms', 'olive oil', '1 lemon', '300 g wholewheat couscous', '3 sprigs of fresh mint', '2 cloves of garlic', '3 sprigs of fresh rosemary', '2 tablespoons baby capers', '2 x 400 g tins of quality cherry tomatoes', '80 g halloumi cheese', '40 g unsalted pistachios']","{'Calories': '444', 'Fat': '19.7g', 'Saturates': '5.8g', 'Sugars': '8.6g', 'Salt': '1.53g', 'Protein': '19.9g', 'Carbs': '45.3g', 'Fibre': '9.3g'}",portobello mushroom lemon wholewheat couscous sprig garlic sprig cherry tomato halloumi cheese pistachio
https://www.jamieoliver.com/recipes/cauliflower-recipes/whole-roasted-spiced-cauli/,Whole roasted spiced cauli,6                                                                                                            ,1 hour 15 minutes                                                    ,"Super easy                                                    
","['½ a bunch of fresh coriander , (15g)', '400 g chopped mixed onion, carrot and celery', 'olive oil', '1 small cauliflower , (600g)', '2 teaspoons smoked paprika', '2 heaped teaspoons madras curry paste', '2 x 400 g tin of green lentils', '2 x 400 g tin of blackeye beans', '3 tablespoons mango chutney , plus extra to serve']","{'Calories': '320', 'Fat': '6g', 'Saturates': '1.6g', 'Sugars': '15g', 'Salt': '0.45g', 'Protein': '19.5g', 'Carbs': '47g', 'Fibre': '14.5g'}",carrot celery cauliflower paprika madras curry paste lentil blackeye bean mango chutney
https://www.jamieoliver.com/recipes/chicken-recipes/chicken-satay-style-noodle-salad/,Chicken satay-style noodle salad,4                                                                                                            ,20 minutes                                                    ,"Not too tricky                                                    
","['1 x 220 g tin of pineapple rings in juice', '200 g vermicelli rice noodles', '1 x 320 g pack of stir-fry veg', '1 clove of garlic', '1 fresh red chilli', '2 limes', '2 tablespoons teriyaki sauce', '2 tablespoons crunchy peanut butter', '4 free-range chicken thighs , skin off, bone out', '1 bunch of fresh coriander , (30g)', '1 bunch of fresh mint , (30g)', '1 teaspoon sesame oil', '2 teaspoons sesame seeds']","{'Calories': '534', 'Fat': '18.3g', 'Saturates': '4.3g', 'Sugars': '12.8g', 'Salt': '1.56g', 'Protein': '26.9g', 'Carbs': '62.9g', 'Fibre': '6.5g'}",pineapple ring vermicelli rice noodle pack stir fry veg garlic lime teriyaki crunchy peanut butter chicken thigh out sesame sesame
https://www.jamieoliver.com/recipes/rice-recipes/vivid-green-risotto/,Vivid green risotto,6                                                                                                            ,30 minutes                                                    ,"Not too tricky                                                    
","['180 g mixed seasonal greens , such as kale, cavolo nero, swiss chard, spinach, broccoli', '1.8 litres organic vegetable stock', '3 tablespoons extra virgin olive oil', '70 g Parmesan cheese , plus extra to serve', '2 sticks of celery', '1 onion', '2 small knobs of unsalted butter', '400 g risotto rice', '½ a bunch of fresh thyme or marjoram , (15g)', '125 ml white wine', '½ a lemon']","{'Calories': '425', 'Fat': '15.2g', 'Saturates': '6.5g', 'Sugars': '2.6g', 'Salt': '2.23g', 'Protein': '10g', 'Carbs': '62.6g', 'Fibre': '2.7g'}",seasonal cavolo swiss broccoli vegetable stock parmesan cheese celery onion butter risotto rice marjoram wine lemon
https://www.jamieoliver.com/recipes/rice-recipes/katsu-style-tofu-rice-bowl/,Katsu-style tofu rice bowls,4                                                                                                            ,40 minutes plus marinating                                                    ,"Not too tricky                                                    
","['450 g firm tofu', '½ teaspoon ground turmeric', '2 tablespoons white miso', 'rice vinegar', 'mirin', '300 g short grain brown rice', '60 g breadcrumbs', '40 g sesame seeds', 'olive oil', '½ teaspoon curry powder', '2 tablespoons mango chutney', '½ a pineapple', '2 fresh red chillies', '4 spring onions', '400 g mixed crunchy veg , such as carrots, sugar snaps, cucumber, cabbage', '½ a bunch of fresh coriander , (15g)', 'hot chilli sauce , to serve']","{'Calories': '537', 'Fat': '15.5g', 'Saturates': '2.4g', 'Sugars': '13.2g', 'Salt': '0.9g', 'Protein': '19.4g', 'Carbs': '84.9g', 'Fibre': '4.9g'}",tofu turmeric miso rice mirin short rice sesame curry mango chutney pineapple onion crunchy veg sugar cabbage
https://www.jamieoliver.com/recipes/vegetable-recipes/roasted-sweet-potato-burrito/,Roasted sweet potato burrito,4                                                                                                            ,50 minutes                                                    ,"Not too tricky                                                    
","['2 medium sweet potatoes , (600g)', 'olive oil', '2 cloves of garlic', '½ a teaspoon of sweet smoked paprika', '½ a teaspoon of ground cumin', '1 x 400 g tin of black beans', '150 g long grain rice', '200 g spinach', '6 spring onions', '100 g sliced pickled jalapeños', '½ a bunch of fresh coriander , (15g)', '4 wholemeal tortillas', '4 tablespoons diary-free yoghurt', '1-2 limes']","{'Calories': '558', 'Fat': '9.6g', 'Saturates': '2.3g', 'Sugars': '13.2g', 'Salt': '1.5g', 'Protein': '17.3g', 'Carbs': '98.8g', 'Fibre': '12.5g'}",potato garlic paprika bean rice spinach onion pickled jalapeno wholemeal tortilla diary yoghurt lime
https://www.jamieoliver.com/recipes/pasta-recipes/cheats-squash-pasta/,Cheat's squash pasta,4                                                                                                            ,1 hour 40 minutes                                                    ,"Super easy                                                    
","['1 butternut squash , (1.2kg)', '1 ciabatta roll , (85g)', '½ a bunch of fresh thyme or rosemary , (15g)', '1 clove of garlic', 'olive oil', '500 g fresh lasagne sheets', '50 g Parmesan cheese , plus extra to serve', 'extra virgin olive oil', 'chilli oil , optional']","{'Calories': '569', 'Fat': '12.6g', 'Saturates': '4.1g', 'Sugars': '11.6g', 'Salt': '1.12g', 'Protein': '22.2g', 'Carbs': '98.3g', 'Fibre': '8.1g'}",butternut squash ciabatta roll garlic lasagne sheet parmesan cheese
https://www.jamieoliver.com/recipes/duck-recipes/roast-duck-with-marsala-gravy/,Roast duck with Marsala gravy,6                                                                                                            ,2 hours 20 minutes                                                    ,"Not too tricky                                                    
","['1 x 1.6kg whole duck', '2 heaped teaspoons Chinese five-spice powder', '1 clementine', '6 fresh bay leaves', 'GRAVY', '', '1 bulb of garlic', '2 carrots', '2 red onions', '3 tablespoons plain flour', '100 ml Marsala', '1 litre organic chicken stock']","{'Calories': '430', 'Fat': '28g', 'Saturates': '7g', 'Sugars': '9g', 'Salt': '2g', 'Protein': '20g', 'Carbs': '23g', 'Fibre': '2g'}",duck chinese five clementine gravy garlic carrot onion flour marsala chicken stock
https://www.jamieoliver.com/recipes/vegetable-recipes/best-ever-brussels-sprouts/,Best-ever Brussels sprouts,6 as a side                                                                                                            ,30 minutes                                                    ,"Not too tricky                                                    
","['800 g Brussels sprouts', '2 higher-welfare Cumberland sausages', '½ a bunch of fresh sage , (15g)', '20 g unsalted butter', '1 onion', '1 sweet eating apple', '1 tablespoon Worcestershire sauce']","{'Calories': '158', 'Fat': '8.7g', 'Saturates': '3.6g', 'Sugars': '8.9g', 'Salt': '.4g', 'Protein': '8.5g', 'Carbs': '12g', 'Fibre': '1g'}",brussels sprout cumberland sausage butter onion eating apple
